idx	sing	plur	freq	inVocabs
_	avows	avow	_	0
_	awaits	await	_	0
_	awakens	awaken	_	0
_	awakes	awake	_	0
_	awards	award	_	1
_	axes	ax	_	1
_	babbles	babble	_	0
_	babies	baby	_	1
_	backdates	backdate	_	0
_	backfires	backfire	_	0
_	backhands	backhand	_	0
_	backpacks	backpack	_	0
_	backpedals	backpedal	_	0
_	backs	back	_	1
_	backspaces	backspace	_	0
_	backtracks	backtrack	_	0
_	backwashes	backwash	_	0
_	badgers	badger	_	0
_	badmouths	badmouth	_	0
_	baffles	baffle	_	0
_	bags	bag	_	1
_	bails	bail	_	0
_	baits	bait	_	0
_	bakes	bake	_	0
_	balances	balance	_	0
_	bales	bale	_	0
_	balks	balk	_	0
_	balloons	balloon	_	1
_	ballyhooes	ballyhoo	_	0
_	bamboozles	bamboozle	_	0
_	bandages	bandage	_	0
_	bands	band	_	1
_	bangs	bang	_	0
_	banishes	banish	_	0
_	bankrolls	bankroll	_	0
_	bankrupts	bankrupt	_	0
_	banks	bank	_	1
_	bans	ban	_	0
_	banters	banter	_	0
_	baptizes	baptize	_	0
_	barbarizes	barbarize	_	0
_	barbecues	barbecue	_	0
_	bares	bare	_	0
_	bargains	bargain	_	0
_	barges	barge	_	0
_	barks	bark	_	0
_	barnstorms	barnstorm	_	0
_	barrages	barrage	_	0
_	barricades	barricade	_	0
_	bars	bar	_	1
_	barters	barter	_	0
_	bases	base	_	1
_	bashes	bash	_	0
_	basks	bask	_	0
_	bastes	baste	_	0
_	batches	batch	_	0
_	baths	bath	_	1
_	bats	bat	_	1
_	batters	batter	_	0
_	battles	battle	_	1
_	bawls	bawl	_	0
_	beaches	beach	_	1
_	beams	beam	_	1
_	bears	bear	_	1
_	beats	beat	_	1
_	beautifies	beautify	_	0
_	beckons	beckon	_	0
_	becomes	become	_	1
_	bedazzles	bedazzle	_	0
_	bedevils	bedevil	_	0
_	beefs	beef	_	0
_	beeps	beep	_	0
_	befriends	befriend	_	0
_	befuddles	befuddle	_	0
_	begins	begin	_	1
_	begrudges	begrudge	_	0
_	begs	beg	_	1
_	beguiles	beguile	_	0
_	behaves	behave	_	0
_	beholds	behold	_	0
_	behooves	behoove	_	0
_	belabors	belabor	_	0
_	belches	belch	_	0
_	beleaguers	beleaguer	_	0
_	belies	belie	_	0
_	believes	believe	_	1
_	belittles	belittle	_	0
_	bellows	bellow	_	0
_	belongs	belong	_	1
_	belts	belt	_	1
_	bemoans	bemoan	_	0
_	bemuses	bemuse	_	0
_	bends	bend	_	1
_	benefits	benefit	_	1
_	bequeaths	bequeath	_	0
_	berates	berate	_	0
_	bereaves	bereave	_	0
_	besets	beset	_	0
_	besieges	besiege	_	0
_	bestows	bestow	_	0
_	betrays	betray	_	0
_	bets	bet	_	1
_	betters	better	_	0
_	bewilders	bewilder	_	0
_	bewitches	bewitch	_	0
_	bides	bide	_	0
_	bids	bid	_	1
_	billows	billow	_	0
_	bills	bill	_	1
_	binds	bind	_	1
_	bites	bite	_	1
_	blabs	blab	_	0
_	blackens	blacken	_	0
_	blacklists	blacklist	_	0
_	blackmails	blackmail	_	0
_	blames	blame	_	0
